S.No,Name,Channel,Slot,Prescale min,Prescale max,Scale min,Scale max,Pre Scale Values,,,,,Scale Values,,,,,PreScaled Unit,Scaled Unit
,,,,,,,,X1,X2,X3,X4,X5,Y1,Y2,Y3,Y4,Y5,,
99,I_DC_L,ai15,Slot9,-10,10,-500,500,-10,-5,0,5,10,-500,-250,0,250,500,v,A
100,F_P_H,ai0,Slot11,-5.801,5.801,-100,100,-5.801,-2.9005,0,2.9005,5.801,-100,-50,0,50,100,v,g
101,F_P_V,ai1,Slot11,-5.421,5.421,-100,100,-5.421,-2.7105,0,2.7105,5.421,-100,-50,0,50,100,v,g
102,F_P_A,ai2,Slot11,-5.474,5.474,-100,100,-5.474,-2.737,0,2.737,5.474,-100,-50,0,50,100,v,g
103,F_M_ND_H,ai3,Slot11,-8,8,-80,80,-8,-4,0,4,8,-80,-40,0,40,80,v,g
104,F_M_ND_V,ai4,Slot11,-8,8,-80,80,-8,-4,0,4,8,-80,-40,0,40,80,v,g
105,F_M_ND_A,ai5,Slot11,-5,5,-80,80,-8,-4,0,4,8,-80,-40,0,40,80,v,g
106,F_M_D_H,ai6,Slot11,-8,8,-80,80,-8,-4,0,4,8,-80,-40,0,40,80,v,g
107,F_M_D_V,ai7,Slot11,-8,8,-80,80,-8,-4,0,4,8,-80,-40,0,40,80,v,g
108,F_M_D_A,ai8,Slot11,-5,5,-80,80,-5,-2.5,0,2.5,5,-80,-40,0,40,80,v,g
109,F_P_B_H,ai9,Slot11,-5.828,5.828,-100,100,-5.828,-2.914,0,2.914,5.828,-100,-50,0,50,100,v,g
110,F_P_B_V,ai10,Slot11,-5.457,5.457,-100,100,-5.457,-2.7285,0,2.7285,5.457,-100,-50,0,50,100,v,g
111,F_P_B_A,ai11,Slot11,-5.32,5.32,-100,100,-5.32,-2.66,0,2.66,5.32,-100,-50,0,50,100,v,g
112,O_P_H,ai12,Slot11,-5.14,5.14,-500,500,-5.14,-2.57,0,2.57,5.14,-500,-250,0,250,500,v,g
113,O_P_V,ai13,Slot11,-5.06,5.06,-500,500,-5.06,-2.53,0,2.53,5.06,-500,-250,0,250,500,v,g
114,O_P_A,ai14,Slot11,-5.3,5.3,-500,500,-5.3,-2.65,0,2.65,5.3,-500,-250,0,250,500,v,g
115,O_M_ND_H,ai15,Slot11,-7.9,7.9,-80,80,-7.9,-3.95,0,3.95,7.9,-80,-40,0,40,80,v,g
116,O_M_ND_V,ai16,Slot11,-7.7,7.7,-80,80,-7.7,-3.85,0,3.85,7.7,-80,-40,0,40,80,v,g
117,O_M_ND_A,ai17,Slot11,-5,5,-80,80,-5,-2.5,0,2.5,5,-80,-40,0,40,80,v,g
118,O_M_D_H,ai18,Slot11,-7.68,7.68,-80,80,-7.68,-3.84,0,3.84,7.68,-80,-40,0,40,80,v,g
119,O_M_D_V,ai19,Slot11,-7.93,7.93,-80,80,-7.93,-3.965,0,3.965,7.93,-80,-40,0,40,80,v,g
120,O_M_D_A,ai20,Slot11,-5,5,-80,80,-5,-2.5,0,2.5,5,-80,-40,0,40,80,v,g
121,O_P_B_H,ai21,Slot11,-5.07,5.07,-500,500,-5.07,-2.535,0,2.535,5.07,-500,-250,0,250,500,v,g
122,O_P_B_V,ai22,Slot11,-5.26,5.26,-500,500,-5.26,-2.63,0,2.63,5.26,-500,-250,0,250,500,v,g
123,O_P_B_A,ai23,Slot11,-5.14,5.14,-500,500,-5.14,-2.57,0,2.57,5.14,-500,-250,0,250,500,v,g
124,ACC_1,ai24,Slot11,-5,5,-500,500,-5,-2.5,0,2.5,5,-500,-250,0,250,500,v,g
