LAYER_NUMBER,MEAN (E7),MEAN (E8),MEAN (E14),MEAN (E15),MEAN (13),MEAN (16)
1965,2443.46,2166.84,2279.93,2247.18,,
1966,2379.2,2096.55,2244.67,2220.77,,
1967,2412.02,2078.05,2218.1,2170.61,,
1968,2460.16,2168.69,2302.24,2289.91,,
1969,2398.3,2103.69,2204.24,2171.78,,
1970,2395.18,2069.03,2235.75,2219.62,,
1971,2418.19,2137.97,2252.61,2234.76,,
1972,2326.5,2060.15,2177.77,2190.76,,
1973,2507.71,2164.13,2332,2274.51,,
1974,2388.57,2120.95,2245.75,2243.03,,
1975,2393.86,2078.01,2209.57,2186.29,,
1976,2396.6,2154.1,2251.7,2256.76,,
1977,2414.92,2106.69,2228.64,2181.56,,
1978,2399.63,2089.31,2250.66,2241.87,,
1979,2478.07,2173.91,2314.55,2262.06,,
1980,2349.94,2068.76,2186.25,2179.9,,
1981,2451.63,2138.81,2275.41,2246.12,,
1982,2391.44,2101.03,2251.38,2235.35,,
1983,2391.35,2094.12,2204.71,2165.37,,
1984,2444.05,2184.02,2300.26,2308.42,,
1985,2409.48,2133.69,2229.36,2198.92,,
1986,2380.51,2083,2207.06,2200.62,,
1987,2430.06,2166.26,2279.58,2243.27,,
1988,2369.2,2087.74,2209.78,2218.19,,
1989,2492.45,2157.72,2312.18,2276.42,,
1990,2398.88,2145.28,2253.84,2247.03,,
1991,2362.17,2105.41,2180.25,2154.91,,
1992,2412.53,2150.03,2263.08,2254.89,,
1993,2426.39,2131.11,2230.36,2205.02,,
1994,2388.96,2082.51,2222.99,2227.89,,
1995,2511.83,2180.28,2329.03,2297.42,,
1996,2360.62,2082.98,2197.35,2181.73,,
1997,2434.3,2105.07,2244.68,2222.88,,
1998,2398.11,2140.13,2252.63,2238.26,,
1999,2389.1,2101.72,2192.81,2158.91,,
2000,2445.03,2186.11,2273.74,2283.7,,
2001,2399.41,2137.81,2227.65,2211.48,,
2002,2353.97,2077.13,2184.19,2185.93,,
2003,2431.04,2199.74,2251.58,2242.03,,
2004,2373.64,2118.78,2231.77,2230.55,,
2005,2488.9,2134.61,2291.83,2241.66,,
2006,2419.15,2188.14,2277.11,2271.24,,
2007,2408.84,2112.3,2227.11,2193.32,,
2008,2414.97,2172.11,2269.78,2261.63,,
2009,2445.64,2152.01,2253.79,2235.98,,
2010,2389.51,2102.35,2226.67,2212.77,,
2011,2517.57,2214.7,2320.72,2287.16,,
2012,2381.88,2126.05,2225.55,2218.18,,
2013,2422.42,2122.91,2240.62,2211.97,,
2014,2402.01,2160.13,2253.45,2244.38,,
2015,2400.27,2125.53,2195.09,2160.92,,
2016,2457.49,2170.34,2298.38,2294.97,,
2017,2443.84,2159.44,2276.78,2240.54,,
2018,2355.57,2084.64,2194.49,2174.89,,
2019,2443.14,2213.52,2261.55,2246.57,,
2020,2388.99,2135.65,2233.79,2217.99,,
2021,2461,2128.03,2269.7,2228.75,,
2022,2429.22,2207.96,2285.2,2286.75,,
2023,2388.31,2122.96,2201.91,2177.17,,
2024,2419.28,2151.29,2262.96,2261.02,,
2025,2451.32,2157.28,2275.03,2255.13,,
2026,2384.48,2111.83,2212.24,2212.1,,
2027,2498.05,2217.69,2321.22,2270.07,,
2028,2378.15,2121.42,2227.84,2222.73,,
2029,2400.45,2103.19,2212.53,2192.03,,
2030,2411.33,2179.87,2265.57,2260.81,,
2031,2429.87,2143.56,2232.33,2181.56,,
2032,2433.85,2164.82,2286.75,2275.54,,
2033,2468.69,2187.35,2281.8,2261.93,,
2034,2358.1,2085.19,2200.91,2182.64,,
2035,2460.06,2208.81,2296.93,2257.95,,
2036,2390.35,2147.33,2243.96,2234.02,,
2037,2413.71,2132.43,2239.1,2197.38,,
2038,2480.81,2209.72,2328.33,2330.51,,
2039,2390.95,2134.46,2200.05,2177.03,,
2040,2404.08,2154.69,2251.05,2241.74,,
2041,2440.96,2200.36,2274.05,2242.37,,
2042,2361.78,2101.61,2185.6,2203.03,,
2043,2507.14,2234.16,2326.72,2284.48,,
2044,2400.72,2153.26,2243.33,2224.95,,
2045,2395,2121.9,2209.57,2183.77,,
2046,2420.02,2220.82,2299.38,2273.83,,
2047,2427.75,2131,2227.21,2182.97,,
2048,2419.24,2150.13,2272.71,2258.42,,
2049,2480.12,2233.93,2307.24,2268.47,,
2050,2349.77,2112.42,2182.38,2167.42,,
2051,2450.5,2208.6,2275.49,2253.59,,
2052,2395.98,2142.5,2244.75,2228.32,,
2053,2411.5,2121.71,2221.59,2177.73,,
2054,2473.39,2223.74,2332.2,2321.82,,
2055,2439.74,2173.89,2251.57,2215.37,,
2056,2396.98,2111.14,2247.69,2218,,
2057,2453.07,2185.64,2281.69,2249.75,,
2058,2330.41,2112.33,2185.11,2166.28,,
2059,2517.57,2235.73,2331.54,2287.27,,
2060,2402.25,2145.29,2258.85,2245.65,,
2061,2399.69,2135.86,2212.21,2181.35,,
2062,2415.98,2214.5,2286.13,2271.37,,
2063,2425.67,2166.1,2249.57,2191.9,,
2064,2386.04,2128.68,2241.28,2230.88,,
2065,2528.78,2246.22,2333.31,2276.41,,
2066,2372.19,2130.42,2218.59,2195.56,,
2067,2484.13,2191.25,2288.63,2252.97,,
2068,2416.52,2172.83,2268.65,2252.14,,
2069,2435.94,2160.28,2243.49,2188.69,,
